## Fri Mar 17 08:47:43 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_kqyf1xx6 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_kqyf1xx6 --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_kqyf1xx6/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope 1142 --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
SGL_RS08610	1148.1652963	1.49e-250	686.0	COG1716@1|root,COG2114@1|root,COG1716@2|Bacteria,COG2114@2|Bacteria,1G0VA@1117|Cyanobacteria,1H6AB@1142|Synechocystis	1142|Synechocystis	T	Adenylyl- / guanylyl cyclase, catalytic domain	-	-	4.6.1.1	ko:K01768	ko00230,ko02025,ko04113,ko04213,map00230,map02025,map04113,map04213	M00695	R00089,R00434	RC00295	ko00000,ko00001,ko00002,ko01000	-	-	-	FHA,Guanylate_cyc
SGL_RS08615	1148.1652964	7.49e-110	315.0	COG0386@1|root,COG0386@2|Bacteria,1G594@1117|Cyanobacteria,1H61Z@1142|Synechocystis	1142|Synechocystis	O	Belongs to the glutathione peroxidase family	gpx2	-	1.11.1.22	ko:K20207	-	-	-	-	ko00000,ko01000	-	-	iJN678.slr1992	GSHPx
SGL_RS08620	1148.1652965	2.17e-293	803.0	COG0183@1|root,COG0183@2|Bacteria,1G0C7@1117|Cyanobacteria,1H6HM@1142|Synechocystis	1142|Synechocystis	I	Thiolase, C-terminal domain	phaA	GO:0003674,GO:0003824,GO:0003988,GO:0006082,GO:0006629,GO:0006631,GO:0006635,GO:0008150,GO:0008152,GO:0009056,GO:0009062,GO:0009987,GO:0016042,GO:0016054,GO:0016408,GO:0016740,GO:0016746,GO:0016747,GO:0019395,GO:0019752,GO:0030258,GO:0032787,GO:0034440,GO:0043436,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044255,GO:0044281,GO:0044282,GO:0046395,GO:0055114,GO:0071704,GO:0072329,GO:1901575	2.3.1.9	ko:K00626	ko00071,ko00072,ko00280,ko00310,ko00362,ko00380,ko00620,ko00630,ko00640,ko00650,ko00720,ko00900,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,ko02020,map00071,map00072,map00280,map00310,map00362,map00380,map00620,map00630,map00640,map00650,map00720,map00900,map01100,map01110,map01120,map01130,map01200,map01212,map02020	M00088,M00095,M00373,M00374,M00375	R00238,R01177	RC00004,RC00326	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	-	Thiolase_C,Thiolase_N
SGL_RS08625	1148.1652966	1.49e-165	463.0	COG1028@1|root,COG1028@2|Bacteria,1G220@1117|Cyanobacteria,1H6DR@1142|Synechocystis	1142|Synechocystis	IQ	KR domain	phaB	-	1.1.1.36	ko:K00023	ko00630,ko00650,ko01120,ko01200,map00630,map00650,map01120,map01200	M00373	R01779,R01977	RC00103,RC00117	ko00000,ko00001,ko00002,ko01000	-	-	-	adh_short_C2
SGL_RS08630	1148.1652967	0.0	913.0	COG2211@1|root,COG2211@2|Bacteria,1G0JI@1117|Cyanobacteria,1H578@1142|Synechocystis	1142|Synechocystis	G	PUCC protein	-	-	-	ko:K08226	-	-	-	-	ko00000,ko02000	2.A.1.41	-	-	PUCC
SGL_RS08635	1148.1652968	0.0	1978.0	COG0642@1|root,COG0784@1|root,COG2198@1|root,COG2199@1|root,COG0784@2|Bacteria,COG2198@2|Bacteria,COG2205@2|Bacteria,COG3706@2|Bacteria,1G09B@1117|Cyanobacteria,1H6W3@1142|Synechocystis	1142|Synechocystis	T	Histidine Phosphotransfer domain	-	-	2.7.13.3	ko:K11527	-	-	-	-	ko00000,ko01000,ko01001,ko02022	-	-	-	HATPase_c,HisKA,Hpt,Response_reg
SGL_RS08640	1148.1652969	0.0	863.0	COG0644@1|root,COG0644@2|Bacteria,1G461@1117|Cyanobacteria,1H6G6@1142|Synechocystis	1142|Synechocystis	C	FAD dependent oxidoreductase	-	-	-	-	-	-	-	-	-	-	-	-	FAD_binding_3
SGL_RS08650	1148.1652971	6.83e-207	575.0	2DB7J@1|root,2Z7MI@2|Bacteria,1G2I3@1117|Cyanobacteria,1H5AZ@1142|Synechocystis	1142|Synechocystis	S	S-layer homology domain	-	-	-	-	-	-	-	-	-	-	-	-	SLH
SGL_RS08655	1148.1652972	3.71e-195	541.0	COG4242@1|root,COG4242@2|Bacteria,1G05A@1117|Cyanobacteria,1H4TM@1142|Synechocystis	1142|Synechocystis	PQ	Exopeptidase that catalyzes the hydrolytic cleavage of multi-L-arginyl-poly-L-aspartic acid (cyanophycin	cphB	GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008236,GO:0016787,GO:0017171,GO:0019538,GO:0042802,GO:0042803,GO:0043170,GO:0044238,GO:0046983,GO:0070011,GO:0071704,GO:0140096,GO:1901564	3.4.15.6	ko:K13282	-	-	R09722	RC00064,RC00141	ko00000,ko01000,ko01002	-	-	iJN678.slr2001	Peptidase_S51
SGL_RS08660	1148.1652973	0.0	1720.0	COG0189@1|root,COG0769@1|root,COG0189@2|Bacteria,COG0769@2|Bacteria,1G141@1117|Cyanobacteria,1H4WF@1142|Synechocystis	1142|Synechocystis	HJM	RimK-like ATP-grasp domain	cphA	-	6.3.2.29,6.3.2.30	ko:K03802	-	-	-	-	ko00000,ko01000	-	-	-	Mur_ligase_C,Mur_ligase_M,RimK
SGL_RS08665	1148.1652974	2.09e-161	450.0	2ADUG@1|root,313K8@2|Bacteria,1G6XK@1117|Cyanobacteria,1H5VN@1142|Synechocystis	1142|Synechocystis	S	Domain of unknown function (DUF4129)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4129
SGL_RS08670	1148.1652975	4.7e-308	837.0	COG0625@1|root,COG0625@2|Bacteria,1G017@1117|Cyanobacteria,1H4PW@1142|Synechocystis	1142|Synechocystis	O	Glutathione S-transferase, C-terminal domain	-	-	2.5.1.18	ko:K00799	ko00480,ko00980,ko00982,ko00983,ko01524,ko05200,ko05204,ko05225,ko05418,map00480,map00980,map00982,map00983,map01524,map05200,map05204,map05225,map05418	-	R03522,R07002,R07003,R07004,R07023,R07024,R07025,R07026,R07069,R07070,R07083,R07084,R07091,R07092,R07093,R07094,R07100,R07113,R07116,R08280,R09409,R11905	RC00004,RC00069,RC00840,RC00948,RC01704,RC01705,RC01706,RC01758,RC01759,RC01765,RC01767,RC01769,RC02243,RC02527,RC02939,RC02940,RC02942,RC02943,RC02944	ko00000,ko00001,ko01000,ko02000	1.A.12.2.2,1.A.12.3.2	-	-	GST_C_2,GST_N_2
SGL_RS08675	1148.1652976	3.94e-64	195.0	2E4Z5@1|root,32ZSV@2|Bacteria,1GHNB@1117|Cyanobacteria,1H6MJ@1142|Synechocystis	1142|Synechocystis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS08680	1148.1652977	0.0	971.0	COG3391@1|root,COG3391@2|Bacteria,1GIGX@1117|Cyanobacteria,1H6D9@1142|Synechocystis	1142|Synechocystis	S	amine dehydrogenase activity	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS08690	1148.1652978	2.06e-170	478.0	COG5464@1|root,COG5464@2|Bacteria,1FZUW@1117|Cyanobacteria,1H5C4@1142|Synechocystis	1142|Synechocystis	S	transposase or invertase	-	-	-	-	-	-	-	-	-	-	-	-	DUF4351
SGL_RS08695	1148.1652979	0.0	868.0	COG0486@1|root,COG0486@2|Bacteria,1G189@1117|Cyanobacteria,1H4WW@1142|Synechocystis	1142|Synechocystis	J	Exhibits a very high intrinsic GTPase hydrolysis rate. Involved in the addition of a carboxymethylaminomethyl (cmnm) group at the wobble position (U34) of certain tRNAs, forming tRNA- cmnm(5)s(2)U34	mnmE	-	-	ko:K03650	-	-	R08701	RC00053,RC00209,RC00870	ko00000,ko01000,ko03016	-	-	-	MMR_HSR1,MnmE_helical,TrmE_N
SGL_RS08700	1148.1652980	0.0	1730.0	COG0474@1|root,COG0474@2|Bacteria,1G0JX@1117|Cyanobacteria,1H6I3@1142|Synechocystis	1142|Synechocystis	P	Cation transporter/ATPase, N-terminus	pma1	GO:0003674,GO:0003824,GO:0005215,GO:0005388,GO:0005575,GO:0005622,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006816,GO:0008150,GO:0008324,GO:0015075,GO:0015085,GO:0015318,GO:0015399,GO:0015405,GO:0015662,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019829,GO:0022804,GO:0022853,GO:0022857,GO:0022890,GO:0030001,GO:0031224,GO:0031226,GO:0034220,GO:0042623,GO:0042625,GO:0042626,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043492,GO:0044424,GO:0044425,GO:0044459,GO:0044464,GO:0046873,GO:0051179,GO:0051234,GO:0055085,GO:0070588,GO:0070838,GO:0071944,GO:0072511,GO:0090662,GO:0098655,GO:0098660,GO:0098662,GO:0099131,GO:0099132	-	-	-	-	-	-	-	-	-	-	Cation_ATPase_C,Cation_ATPase_N,E1-E2_ATPase,Hydrolase
SGL_RS08705	1148.1652981	2.77e-103	298.0	2ETCN@1|root,33KWH@2|Bacteria,1GB3J@1117|Cyanobacteria,1H6JZ@1142|Synechocystis	1142|Synechocystis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS08710	1148.1652982	0.0	879.0	COG0285@1|root,COG0285@2|Bacteria,1G04F@1117|Cyanobacteria,1H4WA@1142|Synechocystis	1142|Synechocystis	H	Mur ligase middle domain	folC	-	6.3.2.12,6.3.2.17	ko:K11754	ko00790,ko01100,map00790,map01100	M00126,M00841	R00942,R02237,R04241	RC00064,RC00090,RC00162	ko00000,ko00001,ko00002,ko01000	-	-	-	Mur_ligase_M
SGL_RS08715	1148.1652983	1.75e-281	767.0	COG3239@1|root,COG3239@2|Bacteria,1G2M3@1117|Cyanobacteria,1H4YR@1142|Synechocystis	1142|Synechocystis	I	Fatty acid desaturase	-	-	-	-	-	-	-	-	-	-	-	-	FA_desaturase
SGL_RS18810	1148.1001606	1.31e-124	359.0	COG3335@1|root,COG3415@1|root,COG3335@2|Bacteria,COG3415@2|Bacteria,1G477@1117|Cyanobacteria,1H6VG@1142|Synechocystis	1117|Cyanobacteria	L	Transposase	-	-	-	ko:K07494	-	-	-	-	ko00000	-	-	-	DDE_3,HTH_Tnp_IS630
SGL_RS08730	1148.1652986	4.86e-124	353.0	COG4636@1|root,COG4636@2|Bacteria,1G2GE@1117|Cyanobacteria,1H6PS@1142|Synechocystis	1142|Synechocystis	S	Putative restriction endonuclease	-	-	-	-	-	-	-	-	-	-	-	-	Uma2
SGL_RS08735	1148.1652987	0.0	1527.0	COG1305@1|root,COG1305@2|Bacteria,1FZW2@1117|Cyanobacteria,1H4MZ@1142|Synechocystis	1142|Synechocystis	E	Domain of unknown function (DUF3488)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3488,DUF4129,Transglut_core
SGL_RS18815	1147.D082_02390	3.6e-55	174.0	COG3328@1|root,COG3328@2|Bacteria,1GN4S@1117|Cyanobacteria,1H6RG@1142|Synechocystis	1142|Synechocystis	L	Transposase, Mutator family	-	-	-	-	-	-	-	-	-	-	-	-	Transposase_mut
SGL_RS08745	1148.1652988	2.71e-191	531.0	COG1606@1|root,COG1606@2|Bacteria,1G10N@1117|Cyanobacteria,1H4YK@1142|Synechocystis	1142|Synechocystis	S	NAD synthase	-	-	-	ko:K06864	-	-	-	-	ko00000	-	-	-	NAD_synthase
SGL_RS08750	1148.1652989	2.79e-181	505.0	COG1434@1|root,COG1434@2|Bacteria,1G1QC@1117|Cyanobacteria,1H5MG@1142|Synechocystis	1142|Synechocystis	S	DUF218 domain	-	-	-	-	-	-	-	-	-	-	-	-	DUF218
SGL_RS08755	1148.1652990	6.5e-119	339.0	COG0764@1|root,COG0764@2|Bacteria,1G50G@1117|Cyanobacteria,1H5GY@1142|Synechocystis	1142|Synechocystis	I	Involved in unsaturated fatty acids biosynthesis. Catalyzes the dehydration of short chain beta-hydroxyacyl-ACPs and long chain saturated and unsaturated beta-hydroxyacyl-ACPs	fabZ	-	4.2.1.59	ko:K02372	ko00061,ko00780,ko01100,ko01212,map00061,map00780,map01100,map01212	M00083,M00572	R04428,R04535,R04537,R04544,R04568,R04954,R04965,R07764,R10117,R10121	RC00831,RC01095	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	iEcDH1_1363.fabZ,iJN678.fabZ	FabA
SGL_RS08765	1148.1652991	2.49e-169	473.0	COG2045@1|root,COG2045@2|Bacteria,1G0EI@1117|Cyanobacteria,1H4IF@1142|Synechocystis	1142|Synechocystis	H	2-phosphosulpholactate phosphatase	comB	GO:0003674,GO:0003824,GO:0016829,GO:0016830,GO:0016831,GO:0050545	3.1.3.71	ko:K05979	ko00680,ko01120,map00680,map01120	M00358	R05789	RC00428	ko00000,ko00001,ko00002,ko01000	-	-	-	2-ph_phosp
SGL_RS08770	1148.1652992	5.76e-146	410.0	COG0778@1|root,COG0778@2|Bacteria,1G330@1117|Cyanobacteria,1H6F9@1142|Synechocystis	1142|Synechocystis	C	Nitroreductase family	drgA	-	-	-	-	-	-	-	-	-	-	-	Nitroreductase
SGL_RS08775	1148.1652993	0.0	1190.0	COG0173@1|root,COG0173@2|Bacteria,1G0W7@1117|Cyanobacteria,1H4GX@1142|Synechocystis	1142|Synechocystis	J	Aspartyl-tRNA synthetase with relaxed tRNA specificity since it is able to aspartylate not only its cognate tRNA(Asp) but also tRNA(Asn). Reaction proceeds in two steps L-aspartate is first activated by ATP to form Asp-AMP and then transferred to the acceptor end of tRNA(Asp Asn)	aspS	-	6.1.1.12	ko:K01876	ko00970,map00970	M00359,M00360	R05577	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016,ko03029	-	-	iJN678.aspS	GAD,tRNA-synt_2,tRNA_anti-codon
SGL_RS08780	1148.1652994	0.0	992.0	COG0823@1|root,COG0823@2|Bacteria,1G2NS@1117|Cyanobacteria,1H62F@1142|Synechocystis	1142|Synechocystis	U	Involved in the tonB-independent uptake of proteins	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS08785	1148.1652995	2.88e-271	743.0	COG0516@1|root,COG0516@2|Bacteria,1G1MX@1117|Cyanobacteria,1H4GF@1142|Synechocystis	1142|Synechocystis	F	IMP dehydrogenase / GMP reductase domain	-	-	1.1.1.205	ko:K00088	ko00230,ko00983,ko01100,ko01110,map00230,map00983,map01100,map01110	M00050	R01130,R08240	RC00143,RC02207	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	-	IMPDH
SGL_RS08790	1148.1652996	4.13e-187	520.0	COG0395@1|root,COG0395@2|Bacteria,1G0JV@1117|Cyanobacteria,1H4JH@1142|Synechocystis	1142|Synechocystis	G	Binding-protein-dependent transport system inner membrane component	lacG	-	-	ko:K17246	ko02010,map02010	M00601	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.1.40	-	-	BPD_transp_1
SGL_RS08800	1148.1652998	8.78e-195	539.0	28NIP@1|root,2ZBK0@2|Bacteria,1G5CP@1117|Cyanobacteria,1H5KB@1142|Synechocystis	1142|Synechocystis	S	Protein of unknown function (DUF3153)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3153
SGL_RS08810	1148.1653000	1.11e-209	580.0	COG1108@1|root,COG1108@2|Bacteria,1G17S@1117|Cyanobacteria,1H64I@1142|Synechocystis	1142|Synechocystis	U	ABC 3 transport family	mntB	GO:0005575,GO:0005623,GO:0005886,GO:0008150,GO:0010035,GO:0010038,GO:0010043,GO:0016020,GO:0042221,GO:0044464,GO:0050896,GO:0071944	-	ko:K11602	ko02010,ko02020,map02010,map02020	M00316	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.15.1	-	-	ABC-3
SGL_RS08815	1148.1653001	1.44e-182	508.0	COG1121@1|root,COG1121@2|Bacteria,1G1A6@1117|Cyanobacteria,1H69N@1142|Synechocystis	1142|Synechocystis	P	AAA domain, putative AbiEii toxin, Type IV TA system	mntA	-	-	ko:K11603	ko02010,ko02020,map02010,map02020	M00316	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.15.1	-	-	ABC_tran
SGL_RS08820	1148.1653002	6.15e-235	646.0	COG0803@1|root,COG0803@2|Bacteria,1FZWI@1117|Cyanobacteria,1H6A8@1142|Synechocystis	1142|Synechocystis	P	Zinc-uptake complex component A periplasmic	mntC	-	-	ko:K11601	ko02010,ko02020,map02010,map02020	M00316	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.15.1	-	-	ZnuA
SGL_RS08835	1148.1653005	0.0	1103.0	COG0467@1|root,COG0467@2|Bacteria,1G0KY@1117|Cyanobacteria,1H594@1142|Synechocystis	1117|Cyanobacteria	T	Core component of the KaiABC clock protein complex, which constitutes the main circadian regulator in cyanobacteria. Binds to DNA. The KaiABC complex may act as a promoter-nonspecific transcription regulator that represses transcription, possibly by acting on the state of chromosome compaction	-	-	-	ko:K08482	-	-	-	-	ko00000	-	-	-	ATPase
SGL_RS08840	1148.1653006	6.07e-165	462.0	2CFCI@1|root,32S1P@2|Bacteria,1G4ST@1117|Cyanobacteria,1H6IW@1142|Synechocystis	1142|Synechocystis	S	Protein of unknown function (DUF4230)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4230
SGL_RS08845	1148.1653007	4.81e-225	620.0	COG0583@1|root,COG0583@2|Bacteria,1G0RE@1117|Cyanobacteria,1H6A5@1142|Synechocystis	1142|Synechocystis	K	Bacterial regulatory helix-turn-helix protein, lysR family	-	-	-	ko:K21703	-	-	-	-	ko00000,ko03000	-	-	-	HTH_1,LysR_substrate
SGL_RS08850	1148.1653008	0.0	965.0	COG0025@1|root,COG0025@2|Bacteria,1G1WP@1117|Cyanobacteria,1H50E@1142|Synechocystis	1142|Synechocystis	P	Sodium/hydrogen exchanger family	-	GO:0003674,GO:0005215,GO:0005451,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006813,GO:0006814,GO:0006873,GO:0006885,GO:0008150,GO:0008324,GO:0009987,GO:0015075,GO:0015077,GO:0015078,GO:0015079,GO:0015081,GO:0015291,GO:0015297,GO:0015298,GO:0015299,GO:0015318,GO:0015385,GO:0015386,GO:0015491,GO:0015672,GO:0016020,GO:0019725,GO:0022804,GO:0022821,GO:0022857,GO:0022890,GO:0030001,GO:0030003,GO:0030004,GO:0030641,GO:0034220,GO:0035725,GO:0042592,GO:0044464,GO:0046873,GO:0048878,GO:0050801,GO:0051179,GO:0051234,GO:0051453,GO:0055067,GO:0055080,GO:0055082,GO:0055085,GO:0065007,GO:0065008,GO:0071804,GO:0071805,GO:0071944,GO:0098655,GO:0098657,GO:0098659,GO:0098660,GO:0098662,GO:0098719,GO:0098739,GO:0098771,GO:0099516,GO:0099587,GO:1902600	-	ko:K03316	-	-	-	-	ko00000	2.A.36	-	-	Na_H_Exchanger
SGL_RS08855	1148.1653009	9.33e-153	430.0	COG2197@1|root,COG2197@2|Bacteria,1G18B@1117|Cyanobacteria,1H5CR@1142|Synechocystis	1142|Synechocystis	KT	helix_turn_helix, Lux Regulon	-	-	-	-	-	-	-	-	-	-	-	-	GerE,Response_reg
SGL_RS08860	1148.1653010	1.9e-247	680.0	COG0642@1|root,COG2205@2|Bacteria,1G0HQ@1117|Cyanobacteria,1H4YN@1142|Synechocystis	1142|Synechocystis	T	His Kinase A (phosphoacceptor) domain	-	-	2.7.13.3	ko:K02480	-	-	-	-	ko00000,ko01000,ko01001,ko02022	-	-	-	HATPase_c,HisKA
SGL_RS08865	1148.1653011	0.0	1068.0	COG2060@1|root,COG2060@2|Bacteria,1G39A@1117|Cyanobacteria,1H57F@1142|Synechocystis	1142|Synechocystis	P	Part of the high-affinity ATP-driven potassium transport (or Kdp) system, which catalyzes the hydrolysis of ATP coupled with the electrogenic transport of potassium into the cytoplasm. This subunit binds and transports the potassium across the cytoplasmic membrane	-	GO:0003674,GO:0003824,GO:0005215,GO:0005488,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006813,GO:0008150,GO:0008324,GO:0008556,GO:0009987,GO:0015075,GO:0015077,GO:0015079,GO:0015318,GO:0015399,GO:0015405,GO:0015662,GO:0015672,GO:0016020,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019829,GO:0022804,GO:0022853,GO:0022857,GO:0022890,GO:0030001,GO:0030955,GO:0031420,GO:0034220,GO:0042623,GO:0042625,GO:0042626,GO:0043167,GO:0043169,GO:0043492,GO:0044464,GO:0046872,GO:0046873,GO:0051179,GO:0051234,GO:0055085,GO:0071804,GO:0071805,GO:0071944,GO:0090662,GO:0098655,GO:0098660,GO:0098662,GO:0099131,GO:0099132	3.6.3.12	ko:K01546	ko02020,map02020	-	-	-	ko00000,ko00001,ko01000	3.A.3.7	-	-	KdpA
SGL_RS08870	1148.1653012	0.0	1285.0	COG2216@1|root,COG2216@2|Bacteria,1G0XK@1117|Cyanobacteria,1H4RP@1142|Synechocystis	1142|Synechocystis	P	Part of the high-affinity ATP-driven potassium transport (or Kdp) system, which catalyzes the hydrolysis of ATP coupled with the electrogenic transport of potassium into the cytoplasm. This subunit is responsible for energy coupling to the transport system	-	-	3.6.3.12	ko:K01547	ko02020,map02020	-	-	-	ko00000,ko00001,ko01000	3.A.3.7	-	-	E1-E2_ATPase,Hydrolase
SGL_RS08880	1148.1653014	1.21e-128	366.0	COG2156@1|root,COG2156@2|Bacteria,1G535@1117|Cyanobacteria,1H691@1142|Synechocystis	1142|Synechocystis	P	Part of the high-affinity ATP-driven potassium transport (or Kdp) system, which catalyzes the hydrolysis of ATP coupled with the electrogenic transport of potassium into the cytoplasm. This subunit acts as a catalytic chaperone that increases the ATP- binding affinity of the ATP-hydrolyzing subunit KdpB by the formation of a transient KdpB KdpC ATP ternary complex	-	GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0006810,GO:0006811,GO:0006812,GO:0006813,GO:0008150,GO:0008324,GO:0008556,GO:0009987,GO:0015075,GO:0015077,GO:0015079,GO:0015318,GO:0015399,GO:0015405,GO:0015662,GO:0015672,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019829,GO:0022804,GO:0022853,GO:0022857,GO:0022890,GO:0030001,GO:0031224,GO:0034220,GO:0042623,GO:0042625,GO:0042626,GO:0043492,GO:0044425,GO:0046873,GO:0051179,GO:0051234,GO:0055085,GO:0071804,GO:0071805,GO:0090662,GO:0098655,GO:0098660,GO:0098662,GO:0099131,GO:0099132	3.6.3.12	ko:K01548	ko02020,map02020	-	-	-	ko00000,ko00001,ko01000	3.A.3.7	-	iETEC_1333.kdpC	KdpC
SGL_RS08885	1148.1653015	1.07e-262	720.0	COG0642@1|root,COG2205@2|Bacteria,1G28S@1117|Cyanobacteria,1H4XI@1142|Synechocystis	1142|Synechocystis	T	Osmosensitive K channel histidine kinase KdpD	kdpD	-	2.7.13.3	ko:K07646	ko02020,map02020	M00454	-	-	ko00000,ko00001,ko00002,ko01000,ko01001,ko02022	-	-	-	KdpD
SGL_RS08890	1148.1653016	0.0	3432.0	COG2911@1|root,COG2911@2|Bacteria,1G1RU@1117|Cyanobacteria,1H4ID@1142|Synechocystis	1142|Synechocystis	M	Domain of Unknown Function (DUF748)	-	-	-	ko:K09800	-	-	-	-	ko00000,ko02000	-	-	-	DUF748,TamB
SGL_RS08895	1148.1653017	0.0	1325.0	COG1232@1|root,COG3349@1|root,COG1232@2|Bacteria,COG3349@2|Bacteria,1G24U@1117|Cyanobacteria,1H6A3@1142|Synechocystis	1142|Synechocystis	H	Thi4 family	-	-	-	ko:K09879	ko00906,map00906	-	R07541,R07560,R07857,R07858	RC01901,RC01965	ko00000,ko00001	-	-	-	Amino_oxidase,Rieske
SGL_RS08900	1148.1653018	2.05e-104	302.0	2EE59@1|root,337ZW@2|Bacteria,1G955@1117|Cyanobacteria,1H604@1142|Synechocystis	1142|Synechocystis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS08905	1148.1653019	3.73e-143	404.0	COG2109@1|root,COG2109@2|Bacteria,1FZZH@1117|Cyanobacteria,1H4QF@1142|Synechocystis	1142|Synechocystis	H	Cob(I)alamin adenosyltransferase N terminal	-	-	2.5.1.17	ko:K19221	ko00860,ko01100,map00860,map01100	M00122	R01492,R05220,R07268	RC00533	ko00000,ko00001,ko00002,ko01000	-	-	-	Co_AT_N,CobA_CobO_BtuR
SGL_RS08910	1148.1653020	1.59e-18	78.6	2EGG9@1|root,32HU4@2|Bacteria,1GMNC@1117|Cyanobacteria,1H6SP@1142|Synechocystis	1142|Synechocystis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS08915	1148.1653021	4.21e-303	827.0	COG2385@1|root,COG2385@2|Bacteria,1G0XG@1117|Cyanobacteria,1H5EV@1142|Synechocystis	1142|Synechocystis	D	Stage II sporulation protein	-	-	-	-	-	-	-	-	-	-	-	-	SpoIID
SGL_RS08920	1147.D082_19300	5.66e-302	821.0	COG0649@1|root,COG0649@2|Bacteria,1G0Y1@1117|Cyanobacteria,1H4TE@1142|Synechocystis	1142|Synechocystis	C	electron donor, via FMN and iron-sulfur (Fe-S) centers, to quinones in the respiratory and or the photosynthetic chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation, and thus conserves the redox energy in a proton gradient. Cyanobacterial NDH-1 also plays a role in inorganic carbon- concentration	ndhH	-	1.6.5.3	ko:K05579	ko00190,ko01100,map00190,map01100	M00145	R11945	RC00061	ko00000,ko00001,ko00002,ko01000	-	-	-	Complex1_49kDa
SGL_RS08925	1148.1653023	1.47e-86	255.0	2B230@1|root,31UJZ@2|Bacteria,1GIHY@1117|Cyanobacteria,1H6PH@1142|Synechocystis	1142|Synechocystis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS08930	1148.1653024	1.39e-64	197.0	28TB6@1|root,2ZFJQ@2|Bacteria,1G68M@1117|Cyanobacteria,1H5ZJ@1142|Synechocystis	1142|Synechocystis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS08935	1148.1653025	1.83e-283	772.0	COG0429@1|root,COG0429@2|Bacteria,1G1DG@1117|Cyanobacteria,1H59W@1142|Synechocystis	1142|Synechocystis	S	Alpha/beta hydrolase family	-	GO:0003674,GO:0003824,GO:0006629,GO:0008150,GO:0008152,GO:0009987,GO:0016787,GO:0016788,GO:0044237,GO:0044238,GO:0044255,GO:0071704	-	ko:K07019	-	-	-	-	ko00000	-	-	-	Abhydrolase_6
